CitedID,CitingID,Title,SharingAuthor,RetractionMentioned,Citation Text,Citation Section,Class,CitedAlone,NoofTime,Journal/Book,Publication Year,Create Date,RetractedClass,S1,S2,S3,AvgSim
21673986,24851195,Emerging Role of MicroRNA in Pancreatic Cancer,Yes,No,"For example, Roldo et al. [3] found that up-regulation of miR-103 and miR-107 as well as down-regulation of miR-155 could be helpful to discriminate pancreatic tumors from the normal pancreas. We also found that miR-200 was down-regulated in the compound transgenic mice with activated K-ras and Ink4a/Arf deficiency that quickly develop pancreatic tumors [4]*. Moreover, we identified up-regulation of miR-21, miR-221, miR-27a, miR-27b and miR-155, and down-regulation of miR-216a, miR-216b, miR-217 and miR-146a expression in tumors derived from this mouse model [5]",Introduction,NotHarmful,No,1,Pancreat Disord Ther,2012,5/23/2014,NotRetracted,0.86805093,0.8566339,0.85917294,0.861285923
21673986,25717438,The Secret Role of microRNAs in Cancer Stem Cell Development and Potential Therapy: A Notch-Pathway Approach,No,No,"Moreover, re-expression of miR-200 family including miR-141 and miR-429 directlyinhibitsJagged-1inhumanmetastaticprostatecancercells suggesting a new way to control the fate of Notch-pathway (49). Similarly, in another study transfection of miR-200b in Rink-1 cells (pancreatic cell line) have reduced the levels of Jagged-1/2 and these of their target genes Hes-1, Hey-2 (Figure 1), and Bcl-2 leading to cell growth inhibition (50)*. Another critical study connects NOTCH3 in the regulation of ZEBs and the miR-200 family revealing how critical is Notch in EMT,invasion and tumor formation in squamous esophageal cancers (51). ",Other,Recommending,Yes,1,Front Oncol,2015,2/27/2015,NotRetracted,0.8535941,0.8054693,0.799645,0.819569467
21673986,23599800,Notch2 inhibits proliferation of chronic myeloid leukemia cells,No,No,"The silence, loss of function or mutation of this gene can induce tumorigenesis (18). A study has found that there is crosstalk between Notch and NF-κB when their roles in normal development and cancer formation are considered (19)*. Transfected Notch1-ICD in the mouse T-ALL cell line stimulates NF-κB expression through a canonical pathway. ",Discussion,NotHarmful,No,1,Oncol Lett,2013,4/20/2013,NotRetracted,0.8364332,0.880676,0.88174963,0.866286277
21673986,29285185,Crosstalk between the Notch signaling pathway and non-coding RNAs in gastrointestinal cancers,No,No,"The miR-200 family is composed of miR-200a, miR-200b, miR-200c, miR-141 and miR-429. Research has identified that Notch1 is one of the target genes of the miR-200 family which includes (miR-200b, miR-200c), whilst JAG1 may be regulated by miR-200b, c and miR-141 by direct binding to the JAG1 3'UTR (75,76)*. The inhibition of Notch signaling activity via the knockdown of JAG1 may reduce the proliferation and increase the apoptosis of the Panc1 cell line (76). ",Other,NotHarmful,No,1,Oncol Lett,2018,12/30/2017,NotRetracted,0.8256736,0.7855568,0.7783818,0.7965374
21673986,22261338,RETRACTED: Increased Ras GTPase activity is regulated by miRNAs that can be attenuated by CDF treatment in pancreatic cancer cells,Yes,No,"K-Ras mutation occurs often in colorectal, lung, multiple myeloma, and chronic pancreati- tis patients, which subsequently leads to the development of PC [1,2]. Thus, K-Ras plays a key role in the development and maintenance of the malignant phenotype, and the most common muta- tion was found to be on codon 12 (K-RasG12D), which is related to the activation of Ras GTPase activity [3]*. In addition to the activation of Ras due to mutation, the loss or the gain of expression of microRNAs (miRNAs) could also mediate deregulation in the expression of target genes that are important in human cancer [4,5].",Introduction,NotHarmful,Yes,1,Cancer Lett,2012,1/21/2012,NotRetracted,0.8200158,0.8992118,0.8973048,0.872177467
21673986,25220353,Therapeutic microRNAs targeting the NF-kappa B signaling circuits of cancers,No,No,"MiR-200 family members were proposed to paly a role in pancreatic tumorigenesis in mice bearing both activated K-ras and deficient INK4a/Arf mutation. These mice developed pancreatic tumors from day 45 to 80 [162]. Notch signaling was reported to promote pancreatic cancer growth [163, 164] and was also observed in tumors derived from the compound transgenic mice.",Other,NotHarmful,No,1,Adv Drug Deliv Rev,2015,9/16/2014,NotRetracted,0.8192874,0.85531163,0.8526448,0.84241461
21673986,24371144,The ZEB1 transcription factor acts in a negative feedback loop with miR200 downstream of Ras and Rb1 to regulate Bmi1 expression,No,No,"Surprisingly, we found that this Rb1 family mutation was sufficient to switch the effect of mutant Ras on Bmi1 expression from repression to induction in MEFs. These results then placed Rb1 pathway status in an unanticipated role as the determinant of whether mutant Ras represses or induces Bmi1. But, how might the Rb1 pathway function to modulate opposing effects of mutant Ras on Bmi1 expression? In cancer cells, Ras has been shown to cause repression of miR-200, which is known to repress Bmi1 (3, 24, 25)*. Thus, miR-200 might be a key link between Ras and Bmi1.",Introduction,NotHarmful,No,1,J Biol Chem,2014,12/28/2013,NotRetracted,0.8060901,0.8637757,0.8575439,0.8424699
21673986,24043947,Friend or foe: emerging role of nuclear factor kappa-light-chain-enhancer of activated B cells in cell senescence,No,No,"AKT has been suggested to activate NF-κB via IKK, resulting in the transcription of pro-survival genes, which prevent the death of cancer cells, particularly when EGFR or mTOR are constitutively activated due to mutation.26,29,30 Mutations leading to the activation of K-ras in the context of INK4a/ARF deficiency in mice lead to pancreatic cancer by persistent activation of the Notch and NF-κB signaling pathways.31* NF-κB can also be activated by hypoxia, which has been implicated in the promotion of angiogenesis for sustaining the growth of cancer cells.",Other,NotHarmful,No,1,Onco Targets Ther,2013,9/18/2013,NotRetracted,0.8017225,0.8634714,0.85900706,0.84140032
21673986,27550813,Suppression of MicroRNA 200 Family Expression by Oncogenic KRAS Activation Promotes Cell Survival and Epithelial-Mesenchymal Transition in KRAS-Driven Cancer,No,No,"Partially mediated by repression of mir-200 expression, mutant KRAS induces resistance to apoptosis and EMT in cancer cells, which may promote tumor formation in vivo (Fig. 7). Previous studies have revealed that oncogenic KRAS cooperates with the inactivation of proteincoding tumor suppressor genes, such as P53 (47), PTEN (48), P14/ARF (49, 50)*, as well as miRNA mir-143/145 (11), to promote cellular transformation. Here, we reported that KRAS potently suppresses mir-200, which has a prominent role in suppressing tumorigenesis by regulating cancer cell apoptosis and EMT.",Discussion,Recommending,No,1,Mol Cell Biol,2016,8/24/2016,NotRetracted,0.79971385,0.83458334,0.83421266,0.822836617
21673986,34412631,Contribution of nuclear BCL10 expression to tumor progression and poor prognosis of advanced and/or metastatic pancreatic ductal adenocarcinoma by activating NF-κB-related signaling,No,No,"In pancreatic cancers, mutational activation of KRAS or alterations in PI3K regulation caused by phosphatase and tensin homolog (PTEN) loss can enhance NF-κB activation and NF-κB-associated activation of downstream cytokine genes (including c-Myc and Cyclin D1) [39–43]*, and thus, contribute to progression of these tumors. Tese fndings were in corroboration of current study showing the vital role of nuclear BCL10 in mediating activation of the NF-κB and its downstream gene, c-Myc, and in contributing to poor prognosis.",Discussion,NotHarmful,No,1,Cancer Cell Int,2021,8/20/2021,NotRetracted,0.79157424,0.8962728,0.89639014,0.861412393
